platform,review,rating,engagement,date,review_length,clean_review,sentiment,intensity_score
Gojek,"aku mau cerita pengalaman aku selama pakai aplikasi kamu, aku pakai gojek pasti kena driver yang kurang ajar (driver mobil) mereka ga mau CANCEL ORDERAN JADI SENGAJA DIEM DI SATU TITIK LAMAAAA, maksa kita sebagai pengguna buat cancel, AKU SAMPAI KENA SUSPEN TAHU AKUN NYA, berkali-kali di giniin driver gojek, kalo aku keras Kepala bakalan aku tungguin ampe dia nyerah, tapi kan aku buru-buru mau kesuatu tempat, ada lagi yang kurang ajar kalo kita make hemat, tolong kasih solusi :(",1,0,2026-02-15 13:41:57,483,cerita alam pakai aplikasi pakai gojek kena driver ajar driver mobil ga cancel order sengaja diem titik lamaaaa maksa guna cancel kena suspen akun nya berkalikali giniin driver gojek kalo keras kepala tungguin ampe nyerah buruburu suatu ajar kalo make hemat tolong kasih solusi,Negative,1
Gojek,ribet mau pesen ojek bukan mau pinjem duit pake peripikasi wajah mana gagal Mulu gatau knapah,1,0,2026-02-15 13:38:10,93,ribet sen ojek pinjem duit pake peripikasi wajah gagal mulu gatau knapah,Negative,0
Gojek,orang nya ramah,5,0,2026-02-15 13:29:14,15,orang nya ramah,Positive,0
Gojek,good application,5,0,2026-02-15 13:28:02,16,good application,Positive,0
Gojek,kecewa sama para driver kalau hujan gak mau ambil orderan. 2kali di cancel padahal saya pakai yg tercepat. dan saya pesan juga gak cuma2 pasti saya kasih fee. kecewa,3,0,2026-02-15 13:24:18,165,kecewa driver hujan gak ambil order kali cancel pakai yg cepat pesan gak kasih fee kecewa,Neutral,2
Gojek,terlalu lambat...udah 2jam pesan makanan belum juga datang.......,1,0,2026-02-15 13:23:02,65,lambatudah jam pesan makan,Negative,0
Gojek,"barusan beli gojek plus, tapi malah gak dapat driver, NUNGGU 2 JAM, SAMPE 2 KALI ORDER GAK DAPAT DRIVER, gajelas bgt fitur driver pilih2 orderan, padahal mau makan udah pake gopay jg, aneh bgt",1,1,2026-02-15 13:13:24,192,barusan beli gojek plus gak driver nunggu jam sampe kali order gak driver gajelas bgt fitur driver pilih order makan udah pake gopay jg aneh bgt,Negative,2
Gojek,Saya mau daftar jadi Driver gojek tapi nggak tau caranya. saya berdomisili di Pekan baru,5,0,2026-02-15 13:11:04,88,daftar driver gojek nggak tau domisili pekan,Positive,0
Gojek,susah driver,1,0,2026-02-15 12:59:29,12,susah driver,Negative,0
Gojek,aplikasi gak jelas kuota internet ada sinyal bagus tapi malah gak bisa masuk ke beranda,1,0,2026-02-15 12:57:10,87,aplikasi gak kuota internet sinyal bagus gak masuk beranda,Negative,2
Gojek,bertahun tahun menggunakan gojek tapi dikecewakan dengan gofood hampir satu jam ga dpt driver padahal bayar mahal dan pilih prioritas/ekspres bukan ongkir reguler. KECEWA..,1,0,2026-02-15 12:53:41,172,tahun gojek kecewa gofood jam ga dpt driver bayar mahal pilih prioritasekspres ongkir reguler kecewa,Negative,1
Gojek,"tolong la, kalau cari driver itu yanh dekat, ini dirver nya juga ga jelas muter2",1,0,2026-02-15 12:46:08,80,tolong la cari driver yanh dirver nya ga muter,Negative,1
Gojek,"baru pertama kali gua diginiin padahal pakai aplikasi ini sudah beberapa tahun. gua pesen gocar di spbu shell dket mall alam sutera di cancel 7x, trus pesen gojek ga ada yg pick up sama sekali. cukup kecewa sih dengan layanannya ini",1,0,2026-02-15 12:44:53,232,kali gua diginiin pakai aplikasi gua sen gocar spbu shell dket mall alam sutera cancel x trus sen gojek ga yg pick up kecewa sih layan,Negative,1
Gojek,tolong jangan adain cancel buat driver..bikin susah pelanggan.masa di lokasi terdekat ada 5 driver ga ada yg nyahut..juga ongkos hemat hapus aja.males denger driver ngeluh.trims,2,0,2026-02-15 12:41:37,177,tolong adain cancel driverbikin susah pelangganmasa lokasi dekat driver ga yg nyahutjuga ongkos hemat hapus ajamales denger driver ngeluhtrims,Negative,1
Gojek,"lama banget nyari pengemudi nya, ga dapet dapet padahal saya di wilayah bandung yang ramai banget penduduknya, 👎🏻",1,0,2026-02-15 12:27:48,113,banget nyari kemudi nya ga dapet dapet wilayah bandung ramai banget duduk,Negative,1
Gojek,"skrg susah bgt dpt driver .. pdhal dititik apk bnyk driver dn yg kedua hr ini pesen gofood ga dpt driver dicancel juga ga bs .. disrh nggu sejam baru bs di cancel , kepusat bantuan juga sama aja ga mmbantu sm skli .. sdgkn mau chat restonya juga ga bisa .. mmg agak lain skrg gojek nie .. malas bgt pke apk ini lagi",1,0,2026-02-15 12:26:54,315,skrg susah bgt dpt driver pdhal titik apk bnyk driver dn yg hr sen gofood ga dpt driver dicancel ga bs disrh nggu jam bs cancel pusat bantu aja ga mmbantu sm skli sdgkn chat restonya ga mmg skrg gojek nie malas bgt pke apk,Negative,4
Gojek,Masih masalah yang sama: gofoodnya susah di saat malam hari terutama setelah hujan. Terlalu sibuk? Kurang banyak gojeknya. Tambahkan personal atau entah gimana caranya biar gak php pelanggan. Masa cuma bisa nyari makan pagi-sore aja? Apalagi bentar lagi ramadhan. Hoki-hokian banget.,2,31,2026-02-15 12:13:03,283,gofoodnya susah malam hujan sibuk gojek tambah personal gimana biar gak php langgan nyari makan pagisore aja bentar ramadhan hokihokian banget,Negative,1
Gojek,gofood nya lama suka delay,1,0,2026-02-15 12:08:45,26,gofood nya suka delay,Negative,0
Gojek,"harga sering berubah tiba-tiba, awalnya murah, setelah 5 menit kemudian harga narik 5-10rb. dan juga claim 15rb gratis voucher karena telat datangnya nggak bisa. aplikasi sering scam kayak pemerintah",1,0,2026-02-15 12:03:49,199,harga ubah tibatiba murah menit harga narik rb claim rb gratis voucher telat datang nggak aplikasi scam kayak perintah,Negative,0
Gojek,"sering di cancel sama driver gocar, kadang udah Nerima orderan tapi gak sampai² tujuan sampai nunggu nya lama, pas ditanya malah dicancel, minimal sih ada kepastian ya tolong dong gojek dibenerin lgi, udh berkali² dicancel trs",2,0,2026-02-15 11:55:34,226,cancel driver gocar kadang udah nerima order gak sampai tuju nunggu nya pas dicancel minimal sih pasti ya tolong gojek dibenerin lgi udh kali dicancel trs,Negative,1
Gojek,MASIH BANYAK DRIVER YANG TIDAK ADA DD NYA DI BELAKANG,1,0,2026-02-15 11:52:00,53,driver dd nya,Negative,0
Gojek,masih banyak driver yang tidak ada DD nya di belakang.,1,0,2026-02-15 11:46:48,54,driver dd nya,Negative,0
Gojek,ad apa ni gojek kok lemot bgt cari driver,2,0,2026-02-15 11:44:58,41,ad ni gojek lot bgt cari driver,Negative,0
Gojek,GO-JEK naik,5,0,2026-02-15 11:36:15,11,gojek,Positive,0
Gojek,menunggu driver sangat lama saya sudah menunggu selama 2 jam lebih dan tidak ada yang datang,1,0,2026-02-15 11:29:59,92,tunggu driver tunggu jam,Negative,0
Gojek,"naik gojek motor aman dan nyaman driver ramah,sehat2 y pak driver",5,0,2026-02-15 11:13:45,65,gojek motor aman nyaman driver ramahsehat y driver,Positive,0
Gojek,ok,5,0,2026-02-15 11:09:29,2,ok,Positive,0
Gojek,"gofood kenapa bermasalah banget.. klo emang susah nyari driver, setelah 10 menit tolong kasih opsi cancel pesanan, masa customer disuruh nunggu SEJAM untuk dapat driver, klo ga dapat baru bisa di cancel. SEJAM NGAPAIN? udah kejadian dua kali, benci banget. tolong evaluasinya mengingat gofood dipakai banyak orang",3,0,2026-02-15 10:57:47,313,gofood masalah banget klo emang susah nyari driver menit tolong kasih opsi cancel pesan customer suruh nunggu jam driver klo ga cancel jam ngapain udah jadi kali benci banget tolong evaluasi gofood pakai orang,Neutral,1
Gojek,sangat puaasss,5,0,2026-02-15 10:56:37,14,puaasss,Positive,0
Gojek,mantapp👍👍,5,0,2026-02-15 10:50:34,9,mantapp,Positive,0
Gojek,membantu,5,0,2026-02-15 10:49:26,8,bantu,Positive,0
Gojek,walau hujan tetap tanggung jawab utk mengantarnya,5,0,2026-02-15 10:43:52,49,hujan tanggung utk antar,Positive,0
Gojek,sangat mudah d gunakan ketika mager kemana2,4,0,2026-02-15 10:32:43,43,mudah d mager mana,Positive,0
Gojek,aman,4,0,2026-02-15 10:31:29,4,aman,Positive,0
Gojek,"Lagi Hujan payah nya mencari driver, sampe sejam nunggu. bahkan udah dpt driver malah minta cancel!",1,0,2026-02-15 10:22:38,99,hujan payah nya cari driver sampe jam nunggu udah dpt driver cancel,Negative,0
Gojek,ok banget,5,0,2026-02-15 10:21:44,9,ok banget,Positive,0
Gojek,Bagus,5,0,2026-02-15 10:06:02,5,bagus,Positive,0
Gojek,saya sangat berhargai dengan aplikasi gojek ini bisa mau punya tujuan lainnya apa yang saya mau lakukan baik dengan benar saya akan memberi nilai 5 ini untuk aplikasi gojek satu ini demikian saya sering pakai gunakan aplikasi ini bisa bebas ongkir dan ada promo murah ini saya sangat senang karena baru kali ini saya tidak menyesal dengan gunakan aplikasi gojek ini tidak akan pernah terjadi lagi jadi saya menghormati kepada aplikasi ini saya akan mengatakan sekian terima kasih untuk aplikasi ini.,5,0,2026-02-15 09:41:12,499,harga aplikasi gojek tuju laku nilai aplikasi gojek pakai aplikasi bebas ongkir promo murah senang kali sesal aplikasi gojek hormat aplikasi sekian terima kasih aplikasi,Positive,0
Gojek,mantaaab,5,0,2026-02-15 09:31:19,8,mantaaab,Positive,0
Gojek,"ini kenapa dah dari kemaren pas mau mesen gofood pas waktu sore, gak ada sama sekali driver yang mau ngambil? Kenapa jadi kek gini setelah update aplikasi? Mana gak bisa di cancel lagi, masa harus nunggu jeda waktu selama itu buat cancel?",3,0,2026-02-15 09:25:32,238,dah kemaren pas mesen gofood pas sore gak driver ngambil kek gin update aplikasi gak cancel nunggu jeda cancel,Neutral,2
Gojek,sangat memuaskan,5,0,2026-02-15 09:20:31,16,muas,Positive,0
Gojek,ok,4,0,2026-02-15 09:14:54,2,ok,Positive,0
Gojek,"driver nya baik,ramah 👍👍⭐⭐⭐⭐⭐",5,0,2026-02-15 09:11:29,29,driver nya baikramah,Positive,0
Gojek,coba dlu appsnya nnti bintangnya ak tmbhin,5,0,2026-02-15 08:53:55,42,coba dlu appsnya nnti bintang ak tmbhin,Positive,0
Gojek,tepat waktu dalam penjemputan penumpang,5,0,2026-02-15 08:53:38,39,jemput tumpang,Positive,0
Gojek,mantap,5,0,2026-02-15 08:34:24,6,mantap,Positive,0
Gojek,makin kesini makin ngaco .,1,0,2026-02-15 08:32:17,26,kesini ngaco,Negative,0
Gojek,boleh juga,4,0,2026-02-15 08:21:58,10,,Positive,0
Gojek,cepat aman & amanah,5,0,2026-02-15 08:20:30,19,cepat aman amanah,Positive,0
Gojek,bagus,4,0,2026-02-15 08:19:41,5,bagus,Positive,0
Gojek,"sejak kapan saya berlangganan gojek plus, transaksi otomatis tanpa sepengetahuan pengguna saldo langsung berkurang minimal ada persetujuan dulu atau konfirmasi transaksi",1,0,2026-02-15 07:59:41,169,langgan gojek plus transaksi otomatis tahu guna saldo langsung kurang minimal tuju konfirmasi transaksi,Negative,0
Gojek,saya tidak sengaja memesan tapi tidak bisa dibatalkan padahal tidak butuh,1,0,2026-02-15 07:56:41,73,sengaja mes batal butuh,Negative,0
Gojek,puas,5,0,2026-02-15 07:56:24,4,puas,Positive,0
Gojek,program hemat sungguh menyengsarakan driver mauoun customer,1,0,2026-02-15 07:49:51,59,program hemat sungguh sengsara driver mauoun customer,Negative,0
Gojek,"Aplikasi sering menutup sendiri, Payah !!! sebagai driver bukan di kasih kesejahteraan malah di kasih aplikasi error terus, Saya akan perbaiki jika sudah di perbaiki. saya gojek driver jakarta, tapi orderannya selalu ke bekasi, bekasi yang sering banjir pula saya di arahkan orderannya.",3,0,2026-02-15 07:43:00,286,aplikasi tutup payah driver kasih sejahtera kasih aplikasi error baik baik gojek driver jakarta order bekas bekas banjir arah order,Neutral,0
Gojek,mantap,5,0,2026-02-15 07:28:57,6,mantap,Positive,0
Gojek,"tiba² dapet spam chat suruh bayar utang padahal gaada minjem, i mean ini apk gojek loh? ini data sy bocor apa gimana ya? jujur spam chat nya ganggu.",3,0,2026-02-15 07:28:15,148,tiba dapet spam chat suruh bayar utang gaada minjem i mean apk gojek loh data sy bocor gimana ya jujur spam chat nya ganggu,Neutral,0
Gojek,tepat waktu,5,0,2026-02-15 07:19:06,11,,Positive,0
Gojek,setiap mesan gofood gadapat ojek,1,0,2026-02-15 07:14:44,32,mesan gofood gadapat ojek,Negative,0
Gojek,"aneh, akhir"" ini setiap top up selalu berkurang seribu. gw barusan top up 100k tapi yang masuk malah 99k",2,0,2026-02-15 07:08:29,104,aneh top up kurang ribu gw barusan top up k masuk k,Negative,0
Gojek,bagus sekali,5,0,2026-02-15 07:08:10,12,bagus,Positive,0
Gojek,"csnya cepat menanggapi dan nyelesain masalah, tysm gojek",5,0,2026-02-15 07:05:57,56,csnya cepat tanggap nyelesain tysm gojek,Positive,0
Gojek,bagus,5,0,2026-02-15 07:04:24,5,bagus,Positive,0
Gojek,bagus,5,0,2026-02-15 06:41:00,5,bagus,Positive,0
Gojek,kenapa skrang susah dapa driver sih baik buat gofood atau buat pergi,3,0,2026-02-15 06:40:25,68,skrang susah dapa driver sih gofood pergi,Neutral,0
Gojek,sangat bagus,5,0,2026-02-15 06:21:03,12,bagus,Positive,0
Gojek,nice,5,0,2026-02-15 06:19:38,4,nice,Positive,0
Gojek,baik,5,0,2026-02-15 06:08:30,4,,Positive,0
Gojek,"makin kesini makan buruk ini aplikasi udah ketinggalan jauh sama kompetitor nya! alamat tujuan udah sedetail mungkin aja masih ga kebaca sama ini aplikasi, mending pake aplikasi gojek sebelah jauh kemana mana soal kualitas",1,0,2026-02-15 06:07:41,222,kesini makan buruk aplikasi udah tinggal kompetitor nya alamat tuju udah detail aja ga baca aplikasi mending pake aplikasi gojek belah mana kualitas,Negative,2
Gojek,mantap,5,0,2026-02-15 06:07:36,6,mantap,Positive,0
Gojek,"customer ad rating dri driver, stop gunain fitur itu saya jg ada bca kmen org di apk sebelah ad driver jg sngja ksih rating rendah krn driver sring dikasih tip dari customer jadi biar driver itu lagi aj yg ambil. enk jg kalo drivernya jujur ini kbnykan yang bohong, ini juga tiba tiba saya dicancel sama driver, mau driver sekarang apa, tolong di perbaikin lagi deh. sama pas hujan jg giliran pke hemat ga ada yg ambil, giliran tnp hemat eh cpt banget di ambil, dan driver jg ga ad bwa jas ujan 1 lg.",1,0,2026-02-15 05:47:40,500,customer ad rating dri driver stop gunain fitur jg bca kmen org apk belah ad driver jg sngja ksih rating rendah krn driver sring kasih tip customer biar driver aj yg ambil enk jg kalo drivernya jujur kbnykan bohong dicancel driver driver tolong perbaikin deh pas hujan jg gilir pke hemat ga yg ambil gilir tnp hemat eh cpt banget ambil driver jg ga ad bwa jas ujan lg,Negative,2
Gojek,ssmakin terdepan,4,0,2026-02-15 05:37:13,16,ssmakin depan,Positive,0
Gojek,jelek. tolong dong diedukasi kembali drivernya. klo emang gamau ambil penumpang yg hemat jangan diambil. merugikan penumpang klo gini. klo emang begitu caranya mending gausah ada hemat. orang pilih hemat buat yg jarak dekat salah kah?,1,0,2026-02-15 05:32:26,234,jelek tolong edukasi drivernya klo emang gamau ambil tumpang yg hemat ambil rugi tumpang klo gin klo emang mending gausah hemat orang pilih hemat yg jarak salah kah,Negative,1
Gojek,mantap,5,0,2026-02-15 05:27:56,6,mantap,Positive,0
Gojek,asik,5,0,2026-02-15 05:22:27,4,asik,Positive,0
Gojek,"apk gag jelasss sih !!! pesen gofud udh nunggu hampir sejam , tiba2 dibatalkan dari apk katanya pesanan terlalu ramai , udh langsung balik ke tampilan awal , pas udh diulang pesanannya tiba2 dpt tlp dari driver nanyain rumah pesenan udh dtg , giliran pesanan yg baru mau dicancle gag bisa udh menghubungi pusat bantuan ...",1,0,2026-02-15 05:17:51,322,apk gag jelasss sih sen gofud udh nunggu jam batal apk pesan ramai udh langsung tampil pas udh ulang pesan dpt tlp driver nanyain rumah sen udh dtg gilir pesan yg dicancle gag udh hubung pusat bantu,Negative,0
Gojek,aman terpercaya,5,0,2026-02-15 04:55:42,15,aman percaya,Positive,0
Gojek,tepat waktu dan mudah pesanya,5,0,2026-02-15 04:48:37,29,mudah pesa,Positive,0
Gojek,ada susahnya ada bagusnya,5,0,2026-02-15 04:41:48,25,susah bagus,Positive,0
Gojek,"kalau pesan go car prioritas selalu datangnya lama, lbh dr 10 menit, pdhl sudah pesan prioritas, dan selalu tercantum di mapsnya kurnag dr 5 menit, namun kemudian mobil tidak datang2, dan maps berubah jd diatas 10 menit. Pengemudi susah di tlf. Lalu apa bedanya layanan prioritas dengan yg biasa? komplen ke cust service pun susah",1,0,2026-02-15 04:41:02,330,pesan go car prioritas datang lbh dr menit pdhl pesan prioritas cantum mapsnya kurnag dr menit mobil maps ubah jd atas menit kemudi susah tlf beda layan prioritas yg komplen cust service susah,Negative,0
Gojek,mantap pokoknya,5,0,2026-02-15 04:32:20,15,mantap pokok,Positive,0
Gojek,keren,5,0,2026-02-15 04:19:55,5,keren,Positive,0
Gojek,Pesen instan malah dikirimnya sameday ditumpuk ama pesenan laen.. kocak nih aplikasi. pesen instan biar cepet !! jangan sameday pake gimmick instan !!!,1,0,2026-02-15 04:09:10,151,sen instan kirim sameday tumpuk ama sen laen kocak nih aplikasi sen instan biar cepet sameday pake gimmick instan,Negative,0
Gojek,"Sekarang gojek mahal. Apalagi gofood, ongkir mahal padahal jarak kurang dari 1 km. Biaya ongkir+penanganan lebih mahal dari harga makanannya. Harga makanannya pun lebih mahal daripada grab dan shopee, padahal di resto yg sama. Diskonnya jg minim, jarang, dan cuma berlaku utk pembayaran pakai kartu kredit tertentu aja. Potongan komisi ke driver dan resto kelewat besar. Kasihan driver dan UMKM nya. Aplikasi karys anak bangsa yg ngisep darah dan keringat mitra sesama anak bangsanya.",3,0,2026-02-15 04:08:28,484,gojek mahal gofood ongkir mahal jarak km biaya ongkirpenanganan mahal harga makan harga makan mahal grab shopee resto yg diskon jg minim jarang laku utk bayar pakai kartu kredit aja potong komisi driver resto lewat kasihan driver umkm nya aplikasi karys anak bangsa yg ngisep darah keringat mitra anak bangsa,Neutral,0
Gojek,"awalnya dapat yg murah tapi drivernya pada belagu dan nolak saya sampai saya nunggu lama sekali, intinya kalau mau cepat diantar harus pilih harga mahal, jadi kalau mau hemat jangan pakai gojek",1,1,2026-02-15 03:57:16,193,yg murah drivernya belagu nolak nunggu inti cepat antar pilih harga mahal hemat pakai gojek,Negative,0
Gojek,gada perlindungan dan jaminan untuk customer,1,0,2026-02-15 03:57:11,44,gada lindung jamin customer,Negative,0
Gojek,aplikasi tolol pekerja nya pada males di order ga ada yang mau ambil sekali nya ada di cancel so kaya cuih,1,0,2026-02-15 03:53:50,106,aplikasi tolol kerja nya males order ga ambil nya cancel so kaya cuih,Negative,2
Gojek,mantap,5,0,2026-02-15 03:42:20,6,mantap,Positive,0
Gojek,baik,5,0,2026-02-15 03:28:10,4,,Positive,0
Gojek,oke banget,5,0,2026-02-15 03:27:55,10,oke banget,Positive,0
Gojek,"semua ok,semua jadi mudah",5,0,2026-02-15 03:27:20,25,oksemua mudah,Positive,0
Gojek,"2026 sekarang sudah lebih baik, jadi ku update lagi.",4,0,2026-02-15 03:17:56,52,ku update,Positive,0
Gojek,sangat membantu,5,0,2026-02-15 03:16:57,15,bantu,Positive,0
Gojek,aplikasi lemot,1,2,2026-02-15 03:07:57,14,aplikasi lot,Negative,0
Gojek,aku suka bgt mana sring bgt dpt diskon di gofood. gw yg sbgai anak kost trbntu bgt🥰🙏,5,0,2026-02-15 02:51:11,84,suka bgt sring bgt dpt diskon gofood gw yg sbgai anak kost trbntu bgt,Positive,0
Gojek,oke aja dah,5,0,2026-02-15 02:47:34,11,oke aja dah,Positive,0
Gojek,masukin kode otp di nomer baru aja gk bisa.. sehat,1,0,2026-02-15 02:45:24,50,masukin kode otp nomer aja gk sehat,Negative,0
Gojek,sangat membantu.. terima kasih,5,0,2026-02-15 02:32:14,30,bantu terima kasih,Positive,0
Gojek,mantep...,5,0,2026-02-15 02:27:55,9,mantep,Positive,0
Gojek,"untuk pihak manajement gojek dan terkait, tolong drivernya di suruh mandi dulu baru ngojek, karena tiap pesan gojek rata2 saya gak kuat nahan bau badan drivernya, bau apek sekali.. mana suka merokok lagi saat dalam perjalanan.. jadi asap rokoknyo itu sangat menggangu bagi kita penumpang",5,0,2026-02-15 02:19:33,287,manajement gojek kait tolong drivernya suruh mandi ngojek pesan gojek gak kuat nahan bau badan drivernya bau apek suka rokok jalan asap rokoknyo menggangu tumpang,Positive,1
Gojek,bagus,5,0,2026-02-15 01:54:17,5,bagus,Positive,0
Gojek,"tiap mau magrib pasti susah boking goride hemat, sangat mengecewakan",1,0,2026-02-15 01:52:59,68,magrib susah boking goride hemat kecewa,Negative,0
Gojek,Ok,5,0,2026-02-15 01:52:06,2,ok,Positive,0
Gojek,nice,5,0,2026-02-15 01:30:14,4,nice,Positive,0
Gojek,"Min kalo bisa ngak usah ada paket hemat la, driver bike lu kayak ngak ikhlas nganter nya ngeluh mulu, nyampe berasa dihina gua",2,0,2026-02-15 01:18:40,126,min kalo ngak paket hemat la driver bike lu kayak ngak ikhlas nganter nya ngeluh mulu nyampe asa hina gua,Negative,0
Gojek,bagus membantu,5,0,2026-02-15 01:17:42,14,bagus bantu,Positive,0
Gojek,"ini aneh gopay pinjam, ga masuk akal, sudah terlunasi tapi ancaman tetap berlanjut, parah !",1,0,2026-02-15 01:06:11,91,aneh gopay pinjam ga masuk akal lunas ancam lanjut parah,Negative,2
Gojek,"memudahkan yg mlz keluar BS d gojek gofood ajh layanan cepat, pengiriman jg cepat🙏",5,0,2026-02-15 01:01:09,82,mudah yg mlz bs d gojek gofood ajh layan cepat kirim jg cepat,Positive,0
Gojek,"driver banyak pake fake GPS(tuyul) kendaraan tidak sesuai aplikasi, dekat rumah banyak driver tapi malah yg jauh dapatnya, parah bgt nih aplikasi. kecewa download aplikasi ini,,,",1,0,2026-02-15 00:58:25,178,driver pake fake gpstuyul kendara sesuai aplikasi rumah driver yg dapat parah bgt nih aplikasi kecewa download aplikasi,Negative,1
Gojek,"mantap ini apk, misalnya lagi mager tapi ada duit jadi gausah gerak",5,0,2026-02-15 00:57:54,67,mantap apk mager duit gausah gerak,Positive,0
Gojek,sangat berguna,5,0,2026-02-15 00:33:39,14,guna,Positive,0
Gojek,kenapa tiba tiba ada pesenan ga food?? aaneh banget,1,0,2026-02-15 00:27:04,51,sen ga food aaneh banget,Negative,1
Gojek,lancar,5,0,2026-02-15 00:14:14,6,lancar,Positive,0
Gojek,anakku top up robux seharga 90 ribu pake gopay jadi 99.900 giiilaaaakkkk....,1,0,2026-02-14 23:55:07,76,anak top up robux harga ribu pake gopay giiilaaaakkkk,Negative,0
Gojek,good service,5,0,2026-02-14 23:37:27,12,good service,Positive,0
Gojek,bagus,5,0,2026-02-14 23:21:31,5,bagus,Positive,0
Gojek,gak bisa pakai shoope pay atau dana atau ovo,1,0,2026-02-14 22:45:32,44,gak pakai shoope pay dana ovo,Negative,1
Gojek,memudahkan beli makan disaat terkendala transportasi,5,0,2026-02-14 22:41:44,52,mudah beli makan saat kendala transportasi,Positive,0
Gojek,bnyk diskon,5,0,2026-02-14 22:22:35,11,bnyk diskon,Positive,0
Gojek,lemot 👎,1,0,2026-02-14 21:58:50,7,lot,Negative,0
Gojek,sangat baik dan nyaman,5,0,2026-02-14 21:04:45,22,nyaman,Positive,0
Gojek,"terimakasih banyak gojek yang senantiasa menemani saya dari kuliah, hingga bekerja. Membantu saya pergi kemana mana bahkan sebelum saya punya kendaraan sendiri, membantu saya cari makan di saat sy lelah utk keluar, sahur, dan membelikan obat saat sy tidak kuat berjalan, serta membelikan buah tangan utk dikirimkan kpd kerabat. semoga gojek semakin sejahtera dari pimpinan s/d pelaksana lapangan, aamiin",5,0,2026-02-14 20:51:05,403,terimakasih gojek senantiasa tani kuliah bantu pergi mana kendara bantu cari makan sy lelah utk sahur beli obat sy kuat jalan beli buah tangan utk kirim kpd kerabat moga gojek sejahtera pimpin sd laksana lapang aamiin,Positive,0
Gojek,ok ok ajassih sejauh ini GK ada masalh,5,0,2026-02-14 19:48:52,38,ok ok ajassih gk masalh,Positive,0
Gojek,"kenapa saya tidak bisa melakukan metode pembayaran gopaylater,pas mau chekout pembelian di aplikasi Tokopedia, untuk pembelian angsuran cicilan bulanan di Tokopedia.",2,0,2026-02-14 18:32:20,165,metode bayar gopaylaterpas chekout beli aplikasi tokopedia beli angsur cicil bulan tokopedia,Negative,0
Gojek,Sagat senang,5,0,2026-02-14 17:50:21,12,sagat senang,Positive,0
Gojek,dengan adanya gojek perjalanan saya jadi santay,5,0,2026-02-14 16:50:51,47,gojek jalan santay,Positive,0
Gojek,kalo lama gak dapat gojeknya pastinya gak bisa pesan,1,0,2026-02-14 16:36:40,52,kalo gak gojek pasti gak pesan,Negative,2
Gojek,"tepat cepat ramah aman, sukses gojek",5,0,2026-02-14 15:53:24,36,cepat ramah aman sukses gojek,Positive,0
Gojek,"tadi saya sempat pesen go car, pesanannya muncul, tetapi di driver tidak. jadi saya harus menunggu lama.",1,0,2026-02-14 15:32:27,104,sen go car pesan muncul driver tunggu,Negative,0
Gojek,nice,5,0,2026-02-14 15:32:11,4,nice,Positive,0
Gojek,eror,3,0,2026-02-14 15:31:34,4,eror,Neutral,0
Gojek,gojek mantapp,5,0,2026-02-14 15:29:58,13,gojek mantapp,Positive,0
